name,mmsi,imo,call_sign,vessel_type__sub_type,gross_tonnage,deadweight,length,year_built,built_at_(shipyard),country,url
ZARGA,642122079,-,5AZY,Fishing / FISHING,-,-,23 m,-,-,Libya,https://magicport.ai/vessels/fishing/zarga-mmsi-642122079
ZAZA,408900699,-,-,Fishing / FISHING,-,-,-,-,-,Bahrain,https://magicport.ai/vessels/fishing/zaza-mmsi-408900699
ZENMARU,431023446,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/zenmaru-mmsi-431023446
ZENRYU MARU NO.68,432860000,-,-,Fishing / FISHING,-,-,-,-,-,Japan,https://magicport.ai/vessels/fishing/zenryu-maru-no68-mmsi-432860000
ZEUS,440401590,-,-,Fishing / FISHING,-,-,-,-,-,South Korea,https://magicport.ai/vessels/fishing/zeus-mmsi-440401590
ZEYAD,408906563,-,-,Fishing / FISHING,-,-,-,-,-,Bahrain,https://magicport.ai/vessels/fishing/zeyad-mmsi-408906563
ZHANGSHANG NO.1,416067255,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/zhangshang-no1-mmsi-416067255
ZHE 10307,412510307,-,-,Fishing / FISHING,-,-,24 m,-,-,China,https://magicport.ai/vessels/fishing/zhe-10307-mmsi-412510307
ZHE CANG YU 00211,870000211,-,00211,Fishing / FISHING,-,-,15 m,-,-,-,https://magicport.ai/vessels/fishing/zhe-cang-yu-00211-mmsi-870000211
ZHE CANG YU 01070,412432581,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/zhe-cang-yu-01070-mmsi-412432581
ZHE CANG YU 01306,412432653,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/zhe-cang-yu-01306-mmsi-412432653
ZHE CANG YU 4479,412432896,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/zhe-cang-yu-4479-mmsi-412432896
ZHE DAI YU 03592 97,200000065,-,-,Fishing / FISHING,-,-,30 m,-,-,-,https://magicport.ai/vessels/fishing/zhe-dai-yu-03592-97-mmsi-200000065
ZHE DAI YU 03915,412426542,-,03915,Fishing / FISHING,-,-,50 m,-,-,China,https://magicport.ai/vessels/fishing/zhe-dai-yu-03915-mmsi-412426542
ZHE DAI YU 05103,412426317,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/zhe-dai-yu-05103-mmsi-412426317
ZHE DAI YU 17307,412425977,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/zhe-dai-yu-17307-mmsi-412425977
ZHE DAI YU 71903,900444444,-,12345,Fishing / FISHING,-,-,14 m,-,-,-,https://magicport.ai/vessels/fishing/zhe-dai-yu-71903-mmsi-900444444
ZHE DAI YU YUN09928,412426085,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/zhe-dai-yu-yun09928-mmsi-412426085
ZHE DAI YU06315,900406315,-,XIPU,Fishing / FISHING,-,-,14 m,-,-,-,https://magicport.ai/vessels/fishing/zhe-dai-yu06315-mmsi-900406315
ZHE DING YU 12140,412410435,-,-,Fishing / FISHING,-,-,35 m,-,-,China,https://magicport.ai/vessels/fishing/zhe-ding-yu-12140-mmsi-412410435
ZHE DONG YU 31010,412430996,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/zhe-dong-yu-31010-mmsi-412430996
ZHE DONG YU 31012,412430994,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/zhe-dong-yu-31012-mmsi-412430994
ZHE JIAO YU 60011 08,412001108,-,00883,Fishing / FISHING,-,-,14 m,-,-,China,https://magicport.ai/vessels/fishing/zhe-jiao-yu-60011-08-mmsi-412001108
ZHE JYAO YU 50018,412411719,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/zhe-jyao-yu-50018-mmsi-412411719
ZHE LIN YU 01253,200123088,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/zhe-lin-yu-01253-mmsi-200123088
ZHE LIN YU 12155,412413329,-,-,Fishing / FISHING,-,-,45 m,-,-,China,https://magicport.ai/vessels/fishing/zhe-lin-yu-12155-mmsi-412413329
ZHE LIN YU 12836,412475663,-,-,Fishing / FISHING,-,-,-,-,-,China,https://magicport.ai/vessels/fishing/zhe-lin-yu-12836-mmsi-412475663
ZHE LIN YU 88156,200203262,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/zhe-lin-yu-88156-mmsi-200203262
ZHE LIN YU12168,412413845,-,-,Fishing / FISHING,-,-,-,-,-,China,https://magicport.ai/vessels/fishing/zhe-lin-yu12168-mmsi-412413845
ZHE LIN YU12371,412413892,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/zhe-lin-yu12371-mmsi-412413892
ZHE LIN YU12810,412413282,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/zhe-lin-yu12810-mmsi-412413282
ZHE LIN YU2367,413415680,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/zhe-lin-yu2367-mmsi-413415680
ZHE LING YU 11009,200012307,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/zhe-ling-yu-11009-mmsi-200012307
ZHE LING YU 96016,200011893,-,-,Fishing / FISHING,-,-,47 m,-,-,-,https://magicport.ai/vessels/fishing/zhe-ling-yu-96016-mmsi-200011893
ZHE LU YU 81055,412413399,-,81055,Fishing / FISHING,-,-,9 m,-,-,China,https://magicport.ai/vessels/fishing/zhe-lu-yu-81055-mmsi-412413399
ZHE LU YU 88851,412410729,-,88851,Fishing / FISHING,-,-,33 m,-,-,China,https://magicport.ai/vessels/fishing/zhe-lu-yu-88851-mmsi-412410729
ZHE NING YU XIU66076,412438385,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/zhe-ning-yu-xiu66076-mmsi-412438385
