name,mmsi,imo,call_sign,vessel_type__sub_type,gross_tonnage,deadweight,length,year_built,built_at_(shipyard),country,url
YUENANSHAYU14072,412471168,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuenanshayu14072-mmsi-412471168
YUENANSHAYU40010,412473238,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuenanshayu40010-mmsi-412473238
YUENANSHAYU40076,412489794,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuenanshayu40076-mmsi-412489794
YUENANSHAYUYUN29802,412534205,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuenanshayuyun29802-mmsi-412534205
YUEPANYU05060,412462145,-,-,Fishing / FISHING,-,-,-,-,-,China,https://magicport.ai/vessels/fishing/yuepanyu05060-mmsi-412462145
YUEPOYU20016,412482108,-,0000000,Fishing / FISHING,-,-,9 m,-,-,China,https://magicport.ai/vessels/fishing/yuepoyu20016-mmsi-412482108
YUERAOYU00302,412440302,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yueraoyu00302-mmsi-412440302
YUERAOYU14023,412461422,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yueraoyu14023-mmsi-412461422
YUERAOYU31020 2 91,310200002,-,-,Fishing / FISHING,-,-,50 m,-,-,Bermuda,https://magicport.ai/vessels/fishing/yueraoyu31020-2-91-mmsi-310200002
YUERAOYU32068,412472555,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yueraoyu32068-mmsi-412472555
YUERAOYU33057,412460429,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yueraoyu33057-mmsi-412460429
YUERAOYU34015,412460439,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yueraoyu34015-mmsi-412460439
YUERAOYU37027,412460508,-,-,Fishing / FISHING,-,-,17 m,-,-,-,https://magicport.ai/vessels/fishing/yueraoyu37027-mmsi-412460508
YUERAOYU41097,412460188,-,41097,Fishing / FISHING,-,-,12 m,-,-,China,https://magicport.ai/vessels/fishing/yueraoyu41097-mmsi-412460188
YUERAOYU44101,412460668,-,44101,Fishing / FISHING,-,-,19 m,-,-,China,https://magicport.ai/vessels/fishing/yueraoyu44101-mmsi-412460668
YUESHANCHENGYU18016,412474283,-,-,Fishing / FISHING,-,-,31 m,-,-,China,https://magicport.ai/vessels/fishing/yueshanchengyu18016-mmsi-412474283
YUESHANWEIYU11309,412463122,-,-,Fishing / FISHING,-,-,38 m,-,-,China,https://magicport.ai/vessels/fishing/yueshanweiyu11309-mmsi-412463122
YUESHANWEIYU12155,412472297,-,-,Fishing / FISHING,-,-,19 m,-,-,China,https://magicport.ai/vessels/fishing/yueshanweiyu12155-mmsi-412472297
YUESHANWEIYU12167,412471983,-,0012167,Fishing / FISHING,-,-,19 m,-,-,China,https://magicport.ai/vessels/fishing/yueshanweiyu12167-mmsi-412471983
YUESHANWEIYU12334,412472197,-,-,Fishing / FISHING,-,-,-,-,-,China,https://magicport.ai/vessels/fishing/yueshanweiyu12334-mmsi-412472197
YUESHANWEIYU12452,412472504,-,12452,Fishing / FISHING,-,-,19 m,-,-,China,https://magicport.ai/vessels/fishing/yueshanweiyu12452-mmsi-412472504
YUESHANWEIYUYUN01424,412472609,-,-,Fishing / FISHING,-,-,-,-,-,China,https://magicport.ai/vessels/fishing/yueshanweiyuyun01424-mmsi-412472609
YUESHENSHANYU10391,412476479,-,-,Fishing / FISHING,-,-,8 m,-,-,-,https://magicport.ai/vessels/fishing/yueshenshanyu10391-mmsi-412476479
YUESHENSHANYU10480,412476568,-,-,Fishing / FISHING,-,-,7 m,-,-,-,https://magicport.ai/vessels/fishing/yueshenshanyu10480-mmsi-412476568
YUESUIYU03609,412537553,-,UUU,Fishing / FISHING,-,-,20 m,-,-,China,https://magicport.ai/vessels/fishing/yuesuiyu03609-mmsi-412537553
YUESUIYU03881,412535871,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuesuiyu03881-mmsi-412535871
YUESUIYU03896,412535716,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuesuiyu03896-mmsi-412535716
YUESUIYU03948,412480439,-,-,Fishing / FISHING,-,-,-,-,-,China,https://magicport.ai/vessels/fishing/yuesuiyu03948-mmsi-412480439
YUESUIYU04013,412481174,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuesuiyu04013-mmsi-412481174
YUESUIYU04053,412461705,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuesuiyu04053-mmsi-412461705
YUESUIYU11020,412480242,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuesuiyu11020-mmsi-412480242
YUESUIYU11092,412488536,-,11092,Fishing / FISHING,-,-,28 m,-,-,China,https://magicport.ai/vessels/fishing/yuesuiyu11092-mmsi-412488536
YUESUIYU24086,412462444,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuesuiyu24086-mmsi-412462444
YUESUIYU32025,412489105,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuesuiyu32025-mmsi-412489105
YUESUIYU32169,412479734,-,0000000,Fishing / FISHING,-,-,16 m,-,-,China,https://magicport.ai/vessels/fishing/yuesuiyu32169-mmsi-412479734
YUESUIYU32170,412479724,-,0000000,Fishing / FISHING,-,-,21 m,-,-,China,https://magicport.ai/vessels/fishing/yuesuiyu32170-mmsi-412479724
YUESUIYU53374,412487262,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuesuiyu53374-mmsi-412487262
YUESUIYU53391,412487475,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuesuiyu53391-mmsi-412487475
YUESUIYU53407,412465087,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuesuiyu53407-mmsi-412465087
YUESUIYU53415,412467065,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuesuiyu53415-mmsi-412467065
YUESUIYU53418,412469283,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuesuiyu53418-mmsi-412469283
