name,mmsi,imo,call_sign,vessel_type__sub_type,gross_tonnage,deadweight,length,year_built,built_at_(shipyard),country,url
DHOE ALSAHER,408902183,-,-,Fishing / FISHING,-,-,-,-,-,Bahrain,https://magicport.ai/vessels/fishing/dhoe-alsaher-mmsi-408902183
DHRONA,419826098,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/dhrona-mmsi-419826098
DIEM 555 C10 LUOINOI,574060053,-,Z,Fishing / FISHING,-,-,20 m,-,-,-,https://magicport.ai/vessels/fishing/diem-555-c10-luoinoi-mmsi-574060053
DIGNITY JAY,235023713,-,VSXV2,Fishing / FISHING,-,-,12 m,-,-,United Kingdom,https://magicport.ai/vessels/fishing/dignity-jay-mmsi-235023713
DIMITRIS AGELOS,237249000,8788610,-,Fishing / FISHING,-,-,-,-,-,Greece,https://magicport.ai/vessels/fishing/dimitris-agelos-mmsi-237249000
DINGSHA018,412178018,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/dingsha018-mmsi-412178018
DINGSHANANZHEN06068,412006068,-,0,Fishing / FISHING,-,-,35 m,-,-,China,https://magicport.ai/vessels/fishing/dingshananzhen06068-mmsi-412006068
DINGSHASHUISHENG1015,412561015,-,-,Fishing / FISHING,-,-,12 m,-,-,China,https://magicport.ai/vessels/fishing/dingshashuisheng1015-mmsi-412561015
DINH C22 C8,574705031,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/dinh-c22-c8-mmsi-574705031
DIRESTRAITS,503170440,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/direstraits-mmsi-503170440
DIVINE STAR,235109891,-,-,Fishing / FISHING,-,-,-,-,-,United Kingdom,https://magicport.ai/vessels/fishing/divine-star-mmsi-235109891
DIYAR MARZOOQ,408902063,-,-,Fishing / FISHING,-,-,-,-,-,Bahrain,https://magicport.ai/vessels/fishing/diyar-marzooq-mmsi-408902063
DO DAEN,440014560,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/do-daen-mmsi-440014560
DOM DE DEUS,109110039,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/dom-de-deus-mmsi-109110039
DON GANG XING 18 HAO,412473264,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/don-gang-xing-18-hao-mmsi-412473264
DON GANG XING 22 HAO,412473275,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/don-gang-xing-22-hao-mmsi-412473275
DON VICTOR,760000017,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/don-victor-mmsi-760000017
DONA FLOR F,711233343,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/dona-flor-f-mmsi-711233343
DONA ROSARIO,730153924,-,-,Fishing / FISHING,-,-,-,-,-,Colombia,https://magicport.ai/vessels/fishing/dona-rosario-mmsi-730153924
DONG BANG,440077640,-,-,Fishing / FISHING,-,-,-,-,-,South Korea,https://magicport.ai/vessels/fishing/dong-bang-mmsi-440077640
DONG CHENG NO368,416004179,-,-,Fishing / FISHING,-,-,-,-,-,Taiwan,https://magicport.ai/vessels/fishing/dong-cheng-no368-mmsi-416004179
DONG JIN NO.7,416001404,-,-,Fishing / FISHING,-,-,-,-,-,Taiwan,https://magicport.ai/vessels/fishing/dong-jin-no7-mmsi-416001404
DONG KYEONG,440403040,-,-,Fishing / FISHING,-,-,-,-,-,South Korea,https://magicport.ai/vessels/fishing/dong-kyeong-mmsi-440403040
DONG LONG NO.1,416067345,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/dong-long-no1-mmsi-416067345
DONG PING 14883,412466889,-,-,Fishing / FISHING,-,-,10 m,-,-,China,https://magicport.ai/vessels/fishing/dong-ping-14883-mmsi-412466889
DONG SAM HO,440153820,-,-,Fishing / FISHING,-,-,-,-,-,South Korea,https://magicport.ai/vessels/fishing/dong-sam-ho-mmsi-440153820
DONG SEONG,440204100,-,-,Fishing / FISHING,-,-,-,-,-,South Korea,https://magicport.ai/vessels/fishing/dong-seong-mmsi-440204100
DONG SIN,440033660,-,-,Fishing / FISHING,-,-,-,-,-,South Korea,https://magicport.ai/vessels/fishing/dong-sin-mmsi-440033660
DONG SIN HO,440003860,-,-,Fishing / FISHING,-,-,-,-,-,South Korea,https://magicport.ai/vessels/fishing/dong-sin-ho-mmsi-440003860
DONG SIN HO,440042830,-,-,Fishing / FISHING,-,-,-,-,-,South Korea,https://magicport.ai/vessels/fishing/dong-sin-ho-mmsi-440042830
DONG SUNG HO,440323510,-,-,Fishing / FISHING,-,-,-,-,-,South Korea,https://magicport.ai/vessels/fishing/dong-sung-ho-mmsi-440323510
DONG THANH CHUOI E2,574939038,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/dong-thanh-chuoi-e2-mmsi-574939038
DONG WON HO,440070480,-,-,Fishing / FISHING,-,-,-,-,-,South Korea,https://magicport.ai/vessels/fishing/dong-won-ho-mmsi-440070480
DONG XIN 1,912000001,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/dong-xin-1-mmsi-912000001
