name,mmsi,imo,call_sign,vessel_type__sub_type,gross_tonnage,deadweight,length,year_built,built_at_(shipyard),country,url
YUEDIANBAI4368,412468177,-,-,Fishing / FISHING,-,-,-,-,-,China,https://magicport.ai/vessels/fishing/yuedianbai4368-mmsi-412468177
YUEDIANYU02084,412481049,-,-,Fishing / FISHING,-,-,8 m,-,-,-,https://magicport.ai/vessels/fishing/yuedianyu02084-mmsi-412481049
YUEDIANYU02113,412481057,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuedianyu02113-mmsi-412481057
YUEDIANYU04138,412464043,-,04138,Fishing / FISHING,-,-,12 m,-,-,China,https://magicport.ai/vessels/fishing/yuedianyu04138-mmsi-412464043
YUEDIANYU47028,412468367,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuedianyu47028-mmsi-412468367
YUEDIANYU92108,412460693,-,92108,Fishing / FISHING,-,-,47 m,-,-,China,https://magicport.ai/vessels/fishing/yuedianyu92108-mmsi-412460693
YUEDONGGUANYU03518,412461747,-,-,Fishing / FISHING,-,-,-,-,-,China,https://magicport.ai/vessels/fishing/yuedongguanyu03518-mmsi-412461747
YUEDONGGUANYU10172,412474045,-,-,Fishing / FISHING,-,-,-,-,-,China,https://magicport.ai/vessels/fishing/yuedongguanyu10172-mmsi-412474045
YUEDONGGUANYU92002,412467609,-,-,Fishing / FISHING,-,-,-,-,-,China,https://magicport.ai/vessels/fishing/yuedongguanyu92002-mmsi-412467609
YUEDONGGUANYUXI80001,412465103,-,0080001,Fishing / FISHING,-,-,15 m,-,-,China,https://magicport.ai/vessels/fishing/yuedongguanyuxi80001-mmsi-412465103
YUEDONGWANYU61018,412464997,-,61018,Fishing / FISHING,-,-,22 m,-,-,China,https://magicport.ai/vessels/fishing/yuedongwanyu61018-mmsi-412464997
YUEDONGWANYU61086,412473855,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuedongwanyu61086-mmsi-412473855
YUEDOUMEN8950,412478705,-,-,Fishing / FISHING,-,-,40 m,-,-,-,https://magicport.ai/vessels/fishing/yuedoumen8950-mmsi-412478705
YUEDOUYU28716,412471184,-,0000000,Fishing / FISHING,-,-,8 m,-,-,China,https://magicport.ai/vessels/fishing/yuedouyu28716-mmsi-412471184
YUEDOUYU28746,412472672,-,0000000,Fishing / FISHING,-,-,8 m,-,-,China,https://magicport.ai/vessels/fishing/yuedouyu28746-mmsi-412472672
YUEDOUYULENG89056,412470034,-,-,Fishing / FISHING,-,-,13 m,-,-,-,https://magicport.ai/vessels/fishing/yuedouyuleng89056-mmsi-412470034
YUEFANYU03144,412471493,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuefanyu03144-mmsi-412471493
YUEFANYU28753,412465724,-,-,Fishing / FISHING,-,-,13 m,-,-,China,https://magicport.ai/vessels/fishing/yuefanyu28753-mmsi-412465724
YUEHAIYU11206,412474763,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuehaiyu11206-mmsi-412474763
YUEHAIYU11258,412474869,-,11258,Fishing / FISHING,-,-,23 m,-,-,China,https://magicport.ai/vessels/fishing/yuehaiyu11258-mmsi-412474869
YUEHAOYU51155,412470213,-,51155,Fishing / FISHING,-,-,18 m,-,-,China,https://magicport.ai/vessels/fishing/yuehaoyu51155-mmsi-412470213
YUEHAOYU51171,412470221,-,0000000,Fishing / FISHING,-,-,17 m,-,-,China,https://magicport.ai/vessels/fishing/yuehaoyu51171-mmsi-412470221
YUEHAOYU56020,412488391,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuehaoyu56020-mmsi-412488391
YUEHAOYU622844,622844008,-,-,Fishing / FISHING,-,-,-,-,-,Egypt,https://magicport.ai/vessels/fishing/yuehaoyu622844-mmsi-622844008
YUEHAOYUP1097,412470197,-,0000000,Fishing / FISHING,-,-,17 m,-,-,-,https://magicport.ai/vessels/fishing/yuehaoyup1097-mmsi-412470197
YUEHAOYUYOU50023,412530604,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuehaoyuyou50023-mmsi-412530604
YUEHONGYU30133,412487613,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuehongyu30133-mmsi-412487613
YUEHUIDONGYU34031,412465533,-,-,Fishing / FISHING,-,-,8 m,-,-,-,https://magicport.ai/vessels/fishing/yuehuidongyu34031-mmsi-412465533
YUEHUIDONGYU50268,412466158,-,-,Fishing / FISHING,-,-,6 m,-,-,China,https://magicport.ai/vessels/fishing/yuehuidongyu50268-mmsi-412466158
YUEHUIDONGYU71171,412465444,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuehuidongyu71171-mmsi-412465444
YUEHUIDONGYU72040,412461828,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuehuidongyu72040-mmsi-412461828
YUEHUIDONGYU72092,412487847,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuehuidongyu72092-mmsi-412487847
YUEHUIDONGYU72118,412486155,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuehuidongyu72118-mmsi-412486155
YUEHUILAI21033 1 99,210330001,-,-,Fishing / FISHING,-,-,90 m,-,-,Cyprus,https://magicport.ai/vessels/fishing/yuehuilai21033-1-99-mmsi-210330001
YUEHUILAIYU21024 7V8,210240002,-,-,Fishing / FISHING,-,-,50 m,-,-,-,https://magicport.ai/vessels/fishing/yuehuilaiyu21024-7v8-mmsi-210240002
YUEHUILAIYU21154,412466935,-,35678,Fishing / FISHING,-,-,13 m,-,-,China,https://magicport.ai/vessels/fishing/yuehuilaiyu21154-mmsi-412466935
YUEHUILAIYU22005,412467017,-,22005,Fishing / FISHING,-,-,18 m,-,-,-,https://magicport.ai/vessels/fishing/yuehuilaiyu22005-mmsi-412467017
